一	 一:single
藩	 艹:Top    潘:Bottom
藻	 艹:Top    澡:Bottom
虎	 虍:TopLeftOutside    儿:BottomRightInside
虐	 ⿸虍⿷匚一
虚	 虍:TopLeftOutside    业:BottomRightInside
虜	 虍:TopLeftOutside    男:BottomRightInside
虞	 虍:TopLeftOutside    呉:BottomRightInside
虫	 虫:single
虹	 虫:Left    工:Right
蚊	 虫:Left    文:Right
蚕	 天:Top    虫:Bottom
蛇	 虫:Left    它:Right
蛍	 𭕄:ParallelTop    冖:ParallelCenter    虫:ParallelBottom
蛮	 亦:Top    虫:Bottom
蜂	 虫:Left    夆:Right
蜜	 宓:Top    虫:Bottom
融	 鬲:Left    虫:Right
血	 丿:Top    皿:Bottom
衆	 血:Top    乑:Bottom
行	 彳:Left    亍:Right
術	 彳:VerticalLeft    朮:VerticalCenter    亍:VerticalRight
街	 彳:VerticalLeft    圭:VerticalCenter    亍:VerticalRight
衛	 彳:VerticalLeft    韋:VerticalCenter    亍:VerticalRight
衝	 彳:VerticalLeft    重:VerticalCenter    亍:VerticalRight
衡	 彳:VerticalLeft    𩵋:VerticalCenter    亍:VerticalRight
衣	 亠:Top    𧘇:Bottom
表	 龶:Top    𧘇:Bottom
衰	 ⿳亠⿻口一𧘇
衷	 ⿱⿻十口𧘇
袋	 代:Top    衣:Bottom
袖	 衤:Left    由:Right
被	 衤:Left    皮:Right
裁	 𢦏:TopRightOutside    衣:BottomLeftInside
裂	 列:Top    衣:Bottom
装	 壮:Top    衣:Bottom
裏	 亠:ParallelTop    里:ParallelCenter    𧘇:ParallelBottom
裕	 衤:Left    谷:Right
補	 衤:Left    甫:Right
裸	 衤:Left    果:Right
製	 制:Top    衣:Bottom
裾	 衤:Left    居:Right
複	 衤:Left    复:Right
褐	 衤:Left    日:Top    匂:Bottom
褒	 亠:ParallelTop    保:ParallelCenter    𧘇:ParallelBottom
襟	 衤:Left    禁:Right
襲	 龍:Top    衣:Bottom
西	 一:Top    𠁤:Bottom
要	 覀:Top    女:Bottom
覆	 覀:Top    復:Bottom
覇	 覀:Top    䩗:Bottom
見	 目:Top    儿:Bottom
規	 夫:Left    見:Right
視	 礻:Left    見:Right
覚	 𭕄:ParallelTop    冖:ParallelCenter    見:ParallelBottom
覧	 ⿱⿰臣⿱𠂉一見
親	 亲:Left    見:Right
観	 𮥶:Left    見:Right
角	 角:single
解	 角:Left    𭷔:Right
触	 角:Left    虫:Right
言	 言:single
訂	 言:Left    丁:Right
訃	 言:Left    卜:Right
計	 言:Left    十:Right
討	 言:Left    寸:Right
訓	 言:Left    川:Right
託	 言:Left    乇:Right
記	 言:Left    己:Right
訟	 言:Left    公:Right
訪	 言:Left    方:Right
設	 言:Left    殳:Right
許	 言:Left    午:Right
訳	 言:Left    尺:Right
訴	 言:Left    斥:Right
診	 言:Left    㐱:Right
証	 言:Left    正:Right
詐	 言:Left    乍:Right
詔	 言:Left    召:Right
評	 言:Left    平:Right
詞	 言:Left    司:Right
詠	 言:Left    永:Right
詣	 言:Left    旨:Right
試	 言:Left    式:Right
詩	 言:Left    寺:Right
詮	 言:Left    全:Right
詰	 言:Left    吉:Right
話	 言:Left    舌:Right
該	 言:Left    亥:Right
詳	 言:Left    羊:Right
誇	 言:Left    夸:Right
誉	 兴:Top    言:Bottom
誌	 言:Left    志:Right
認	 言:Left    忍:Right
誓	 折:Top    言:Bottom
誕	 言:Left    延:Right
誘	 言:Left    秀:Right
語	 言:Left    吾:Right
誠	 言:Left    成:Right
誤	 言:Left    呉:Right
説	 言:Left    兑:Right
読	 言:Left    売:Right
誰	 言:Left    隹:Right
課	 言:Left    果:Right
調	 言:Left    周:Right
談	 言:Left    炎:Right
請	 言:Left    青:Right
論	 言:Left    侖:Right
諦	 言:Left    帝:Right
諧	 言:Left    皆:Right
諭	 言:Left    俞:Right
諮	 言:Left    咨:Right
諸	 言:Left    者:Right
諾	 言:Left    若:Right
謀	 言:Left    某:Right
謁	 言:Left    日:Top    匂:Bottom
謄	 月:Left    誊:Right
謎	 言:Left    迷:Right
謙	 言:Left    兼:Right
講	 言:Left    冓:Right
謝	 言:Left    射:Right
謡	 言:Left    爫:Top    𠙻:Bottom
謹	 言:Left    𦰌:Right
識	 言:Left    戠:Right
譜	 言:Left    普:Right
警	 敬:Top    言:Bottom
議	 言:Left    義:Right
譲	 言:Left    㐮:Right
護	 言:Left    蒦:Right
谷	 谷:single
豆	 豆:single
豊	 曲:Top    豆:Bottom
豚	 月:Left    豕:Right
象	 𠂊:ParallelTop    𫩏:ParallelCenter    𧰨:ParallelBottom
豪	 亠:Top    口ParallelTop:    冖:ParallelCenter豕:ParallelBottom
貌	 豸:Left    皃:Right
貝	 目:Top    八:Bottom
貞	 ⺊:Top    貝:Bottom
負	 𠂊:Top    貝:Bottom
財	 貝:Left    才:Right
貢	 工:Top    貝:Bottom
貧	 分:Top    貝:Bottom
貨	 化:Top    貝:Bottom
販	 貝:Left    反:Right
貪	 今:Top    貝:Bottom
貫	 毌:Top    貝:Bottom
責	 龶:Top    貝:Bottom
貯	 貝:Left    宁:Right
貴	 𠀐:Top    貝:Bottom
買	 罒:Top    貝:Bottom
貸	 代:Top    貝:Bottom
費	 弗:Top    貝:Bottom
貼	 貝:Left    占:Right
貿	 貿:single
賀	 加:Top    貝:Bottom
賂	 貝:Left    各:Right
賃	 任:Top    貝:Bottom
賄	 貝:Left    有:Right
資	 次:Top    貝:Bottom
賊	 貝:Left    戈TopRightOutside:    十:BottomLeftInside
賓	 宀:Top    一ParallelTop:    少:ParallelCenter貝:ParallelBottom
賛	 㚘:Top    貝:Bottom
賜	 貝:Left    易:Right
賞	 𫩠:Top    貝:Bottom
賠	 貝:Left    咅:Right
賢	 臤:Top    貝:Bottom
賦	 貝:Left    武:Right
質	 斦:Top    貝:Bottom
賭	 貝:Left    者:Right
購	 貝:Left    冓:Right
贈	 貝:Left    曽:Right
赤	 赤:single
赦	 赤:Left    攵:Right
走	 土:Top    龰:Bottom
赴	 走:BottomLeftOutside    卜:TopRightInside
起	 走:BottomLeftOutside    巳:TopRightInside
超	 走:BottomLeftOutside    召:TopRightInside
越	 走:BottomLeftOutside    戉:TopRightInside
趣	 走:BottomLeftOutside    取:TopRightInside
足	 口:Top    龰:Bottom
距	 𧾷:Left    巨:Right
跡	 𧾷:Left    亦:Right
路	 𧾷:Left    各:Right
跳	 𧾷:Left    兆:Right
践	 𧾷:Left    㦮:Right
踊	 𧾷:Left    甬:Right
踏	 𧾷:Left    沓:Right
踪	 𧾷:Left    宗:Right
蹴	 𧾷:Left    就:Right
躍	 𧾷:Left    翟:Right
身	 身:single
車	 車:single
軌	 車:Left    九:Right
軍	 冖:Top    車:Bottom
軒	 車:Left    干:Right
軟	 車:Left    欠:Right
転	 車:Left    云:Right
軸	 車:Left    由:Right
軽	 車:Left    圣:Right
較	 車:Left    交:Right
載	 𢦏:TopRightOutside    車:BottomLeftInside
輝	 光:Left    軍:Right
輩	 非:Top    車:Bottom
輪	 車:Left    侖:Right
輸	 車:Left    俞:Right
轄	 車:Left    害:Right
辛	 立:Top    十:Bottom
辞	 舌:Left    辛:Right
辣	 辛:Left    束:Right
辱	 辰:Top    寸:Bottom
農	 曲:Top    辰:Bottom
辺	 辶:BottomLeftOutside    刀:TopRightInside
込	 辶:BottomLeftOutside    入:TopRightInside
迅	 辶:BottomLeftOutside    卂:TopRightInside
迎	 辶:BottomLeftOutside    卬:TopRightInside
近	 辶:BottomLeftOutside    斤:TopRightInside
返	 辶:BottomLeftOutside    反:TopRightInside
迫	 辶:BottomLeftOutside    白:TopRightInside
迭	 辶:BottomLeftOutside    失:TopRightInside
述	 辶:BottomLeftOutside    术:TopRightInside
迷	 辶:BottomLeftOutside    米:TopRightInside
追	 辶:BottomLeftOutside    𠂤:TopRightInside
退	 辶:BottomLeftOutside    艮:TopRightInside
送	 辶:BottomLeftOutside    关:TopRightInside
逃	 辶:BottomLeftOutside    兆:TopRightInside
逆	 辶:BottomLeftOutside    屰:TopRightInside
透	 辶:BottomLeftOutside    秀:TopRightInside
逐	 辶:BottomLeftOutside    豕:TopRightInside
逓	 辶:BottomLeftOutside    乕:TopRightInside
途	 辶:BottomLeftOutside    余:TopRightInside
通	 辶:BottomLeftOutside    甬:TopRightInside
逝	 辶:BottomLeftOutside    折:TopRightInside
速	 辶:BottomLeftOutside    束:TopRightInside
造	 辶:BottomLeftOutside    告:TopRightInside
連	 辶:BottomLeftOutside    車:TopRightInside
逮	 辶:BottomLeftOutside    隶:TopRightInside
週	 辶:BottomLeftOutside    周:TopRightInside
進	 辶:BottomLeftOutside    隹:TopRightInside
逸	 辶:BottomLeftOutside    免:TopRightInside
遂	 辶:BottomLeftOutside    㒸:TopRightInside
遅	 辶:BottomLeftOutside    𡱝:TopRightInside
遇	 辶:BottomLeftOutside    禺:TopRightInside
遊	 辶:BottomLeftOutside    斿:TopRightInside
運	 辶:BottomLeftOutside    軍:TopRightInside
遍	 辶:BottomLeftOutside    扁:TopRightInside
過	 辶:BottomLeftOutside    咼:TopRightInside
道	 辶:BottomLeftOutside    首:TopRightInside
達	 辶:BottomLeftOutside    𦍒:TopRightInside
違	 辶:BottomLeftOutside    韋:TopRightInside
遜	 辶:BottomLeftOutside    孫:TopRightInside
遠	 辶:BottomLeftOutside    袁:TopRightInside
遡	 辶:BottomLeftOutside    朔:TopRightInside
遣	 辶:BottomLeftOutside    𠳋:TopRightInside
適	 辶:BottomLeftOutside    啇:TopRightInside
遭	 辶:BottomLeftOutside    曹:TopRightInside
遮	 辶:BottomLeftOutside    庶:TopRightInside
遵	 辶:BottomLeftOutside    尊:TopRightInside
遷	 辶:BottomLeftOutside    䙲Top:    己:Bottom
選	 辶:BottomLeftOutside    巽:TopRightInside
遺	 辶:BottomLeftOutside    貴:TopRightInside
避	 辶:BottomLeftOutside    辟:TopRightInside
還	 辶:BottomLeftOutside    睘:TopRightInside
那	 刀:Left    二Center:    阝:Center
邦	 丰:Left    阝:Right
邪	 牙:Left    阝:Right
邸	 氐:Left    阝:Right
郊	 交:Left    阝:Right
郎	 郎:single
郡	 君:Left    阝:Right
部	 咅:Left    阝:Right
郭	 享:Left    阝:Right
郵	 垂:Left    阝:Right
郷	 郷:single
都	 者:Left    阝:Right
酌	 酉:Left    勺:Right
配	 酉:Left    己:Right
酎	 酉:Left    寸:Right
酒	 氵:Left    酉:Right
酔	 酉:Left    卆:Right
酢	 酉:Left    乍:Right
酪	 酉:Left    各:Right
酬	 酉:Left    州:Right
酵	 酉:Left    孝:Right
酷	 酉:Left    告:Right
酸	 酉:Left    夋:Right
醒	 酉:Left    星:Right
醜	 酉:Left    鬼:Right
醸	 酉:Left    㐮:Right
采	 爫:Top    木:Bottom
釈	 釆:Left    尺:Right
里	 甲:Center    二:Center
重	 重:single
野	 里:Left    予:Right
量	 旦:Top    里:Bottom
金	 人:Top    王Center:    丷:Center
釜	 父:Top    王Center:    丷:Center
針	 金:Left    十:Right
釣	 金:Left    勺:Right
鈍	 金:Left    屯:Right
鈴	 金:Left    令:Right
鉄	 金:Left    失:Right
鉛	 金:Left    㕣:Right
鉢	 金:Left    本:Right
鉱	 金:Left    広:Right
銀	 金:Left    艮:Right
銃	 金:Left    充:Right
銅	 金:Left    同:Right
銘	 金:Left    名:Right
銭	 金:Left    㦮:Right
鋭	 金:Left    兑:Right
鋳	 金:Left    寿:Right
鋼	 金:Left    岡:Right
錠	 金:Left    定:Right
錦	 金:Left    帛:Right
錬	 金:Left    東:Right
錮	 金:Left    固:Right
錯	 金:Left    昔:Right
録	 金:Left    录:Right
鍋	 金:Left    咼:Right
鍛	 金:Left    段:Right
鍵	 金:Left    建:Right
鎌	 金:Left    兼:Right
鎖	 金:Left    𧴪:Right
鎮	 金:Left    真:Right
鏡	 金:Left    竟:Right
鐘	 金:Left    童:Right
鑑	 金:Left    監:Right
長	 長:single
門	 𠁣:Left    𠃛:Right
閉	 門:TopOutside    才:BottomInside
開	 門:TopOutside    开:BottomInside
閑	 門:TopOutside    木:BottomInside
間	 門:TopOutside    日:BottomInside
関	 門:TopOutside    关:BottomInside
閣	 門:TopOutside    各:BottomInside
閥	 門:TopOutside    伐:BottomInside
閲	 門:TopOutside    兑:BottomInside
闇	 門:TopOutside    音:BottomInside
闘	 門:TopOutside    𭔰:BottomInside
阜	 𠂤:Top    十:Bottom
阪	 阝:Left    反:Right
防	 阝:Left    方:Right
阻	 阝:Left    且:Right
附	 阝:Left    付:Right
降	 阝:Left    夅:Right
限	 阝:Left    艮:Right
陛	 阝:Left    坒:Right
院	 阝:Left    完:Right
陣	 阝:Left    車:Right
除	 阝:Left    余:Right
陥	 阝:Left    𠂊:Top    旧:Bottom
陪	 阝:Left    咅:Right
陰	 阝:Left    侌:Right
陳	 阝:Left    東:Right
陵	 阝:Left    夌:Right
陶	 阝:Left    匋:Right
陸	 阝:Left    坴:Right
険	 阝:Left    㑒:Right
陽	 阝:Left    昜:Right
隅	 阝:Left    禺:Right
隆	 阝:Left    夂:Top    生:Bottom
隊	 阝:Left    㒸:Right
階	 阝:Left    皆:Right
随	 阝:Left    迶:Right
隔	 阝:Left    鬲:Right
隙	 阝:Left    𡭴:Right
際	 阝:Left    祭:Right
障	 阝:Left    章:Right
隠	 阝:Left    𢚩:Right
隣	 阝:Left    粦:Right
隷	 士:Top    示Bottom:    隶:Right
隻	 隹:Top    又:Bottom
雄	 厷:Left    隹:Right
雅	 牙:Left    隹:Right
集	 隹:Top    木:Bottom
雇	 戸:TopLeftOutside    隹:BottomRightInside
雌	 此:Left    隹:Right
雑	 杂:Left    隹:Right
離	 离:Left    隹:Right
難	 𦰩:Left    隹:Right
雨	 一:Top    𠕒:Bottom
雪	 雨:Top    彐:Bottom
雰	 雨:Top    分:Bottom
雲	 雨:Top    云:Bottom
零	 雨:Top    令:Bottom
雷	 雨:Top    田:Bottom
電	 雨:Top    日Center:    乚:Center
需	 雨:Top    而:Bottom
震	 雨:Top    辰:Bottom
霊	 雨:ParallelTop    一:ParallelCenter    亚:ParallelBottom
霜	 雨:Top    相:Bottom
霧	 雨:Top    務:Bottom
露	 雨:Top    路:Bottom
青	 龶:Top    月:Bottom
静	 青:Left    争:Right
非	 非:single
面	 丆:Top    囬:Bottom
革	 革:single
靴	 革:Left    化:Right
韓	 𠦝:Left    韋:Right
音	 立:Top    日:Bottom
韻	 音:Left    員:Right
響	 郷:Top    音:Bottom
頂	 丁:Left    頁:Right
頃	 匕:Left    頁:Right
項	 工:Left    頁:Right
順	 川:Left    頁:Right
須	 彡:Left    頁:Right
預	 予:Left    頁:Right
頑	 元:Left    頁:Right
頒	 分:Left    頁:Right
頓	 屯:Left    頁:Right
領	 令:Left    頁:Right
頭	 豆:Left    頁:Right
頰	 夾:Left    頁:Right
頻	 歩:Left    頁:Right
頼	 束:Left    頁:Right
題	 是:BottomLeftOutside    頁:TopRightInside
額	 客:Left    頁:Right
顎	 咢:Left    頁:Right
顔	 彦:Left    頁:Right
顕	 显:Left    頁:Right
願	 原:Left    頁:Right
類	 类:Left    頁:Right
顧	 雇:Left    頁:Right
風	 几:TopOutside    䖝:BottomInside
飛	 飛:single
食	 人:Top    良:Bottom
飢	 飠:Left    几:Right
飯	 飠:Left    反:Right
飲	 飠:Left    欠:Right
飼	 飠:Left    司:Right
飽	 飠:Left    包:Right
飾	 飠:Left    𠂉:Top    巾:Bottom
餅	 飠:Left    并:Right
養	 𦍌:Top    食:Bottom
餌	 飠:Left    耳:Right
餓	 飠:Left    我:Right
館	 飠:Left    官:Right
首	 䒑:Top    自:Bottom
香	 禾:Top    日:Bottom
馬	 馬:single
駄	 馬:Left    太:Right
駅	 馬:Left    尺:Right
駆	 馬:Left    区:Right
駐	 馬:Left    主:Right
駒	 馬:Left    句:Right
騎	 馬:Left    奇:Right
騒	 馬:Left    𧈡:Right
験	 馬:Left    㑒:Right
騰	 月:Left    駦:Right
驚	 敬:Top    馬:Bottom
骨	 骨:single
骸	 骨:Left    亥:Right
髄	 骨:Left    迶:Right
高	 亠:ParallelTop    口:ParallelCenter    冋:ParallelBottom
髪	 髟:Top    友:Bottom
鬱	 ⿳⿲木缶木冖⿰鬯彡
鬼	 甶:Top    儿BottomLeftOutside:    厶:TopRightInside
魂	 云:Left    鬼:Right
魅	 鬼:BottomLeftOutside    未:TopRightInside
魔	 麻:TopLeftOutside    鬼:BottomRightInside
魚	 𠂊:ParallelTop    田:ParallelCenter    灬:ParallelBottom
鮮	 魚:Left    羊:Right
鯨	 魚:Left    京:Right
鳥	 鳥:single
鳴	 口:Left    鳥:Right
鶏	 爫:Top    夫Bottom:    鳥:Right
鶴	 隺:Left    鳥:Right
鹿	 ⿸⿸广⿻コ⿰丨丨比
麓	 林:Top    鹿:Bottom
麗	 丽:Top    鹿:Bottom
麦	 龶:Top    夂:Bottom
麺	 麦:BottomLeftOutside    面:TopRightInside
麻	 广:TopLeftOutside    林:BottomRightInside
黄	 龷:ParallelTop    由:ParallelCenter    八:ParallelBottom
黒	 里:Top    灬:Bottom
黙	 里:Left    犬:Right    灬:Bottom
鼓	 壴:Left    支:Right
鼻	 自:Top    𢌿:Bottom
齢	 歯:Left    令:Right
𠮟	 口:Left    七:Right
