一	 一:single
嚇	 口:Left    赫:Right
囚	 囗:Outside    人:Inside
四	 囗:Outside    儿:Inside
回	 囗:Outside    口:Inside
因	 囗:Outside    大:Inside
団	 囗:Outside    寸:Inside
困	 囗:Outside    木:Inside
囲	 囗:Outside    井:Inside
図	 ⿴囗⿱⺀乂
固	 囗:Outside    古:Inside
国	 囗:Outside    玉:Inside
圏	 囗:Outside    巻:Inside
園	 囗:Outside    袁:Inside
土	 十:Top    一:Bottom
圧	 厂:TopLeftOutside    土:BottomRightInside
在	 在:single
地	 土:Left    也:Right
坂	 土:Left    反:Right
均	 土:Left    勻:Right
坊	 土:Left    方:Right
坑	 土:Left    亢:Right
坪	 土:Left    平:Right
垂	 垂:single
型	 刑:Top    土:Bottom
垣	 土:Left    亘:Right
埋	 土:Left    里:Right
城	 土:Left    成:Right
域	 土:Left    或:Right
執	 幸:Left    丸:Right
培	 土:Left    咅:Right
基	 其:Top    土:Bottom
埼	 土:Left    奇:Right
堀	 土:Left    屈:Right
堂	 𫩠:Top    土:Bottom
堅	 臤:Top    土:Bottom
堆	 土:Left    隹:Right
堕	 陏:Top    土:Bottom
堤	 土:Left    是:Right
堪	 土:Left    甚:Right
報	 幸:Left    𠬝:Right
場	 土:Left    昜:Right
塀	 土:Left    屏:Right
塁	 ⿳田⿱丷八土
塊	 土:Left    鬼:Right
塑	 朔:Top    土:Bottom
塔	 土:Left    荅:Right
塗	 涂:Top    土:Bottom
塚	 土:Left    冖:Top    豕:Bottom
塞	 𡨄:Top    土:Bottom
塡	 土:Left    眞:Right
塩	 土:Left    𬐚:Right
塾	 孰:Top    土:Bottom
境	 土:Left    竟:Right
墓	 莫:Top    土:Bottom
増	 土:Left    曽:Right
墜	 隊:Top    土:Bottom
墨	 黒:Top    土:Bottom
墳	 土:Left    賁:Right
墾	 貇:Top    土:Bottom
壁	 辟:Top    土:Bottom
壇	 土:Left    亶:Right
壊	 土:Left    十:Top    𭾱:Bottom
壌	 土:Left    㐮:Right
士	 十:Top    一:Bottom
壮	 丬:Left    士:Right
声	 士:Top    𠃜:Bottom
壱	 士:ParallelTop    冖:ParallelCenter    匕:ParallelBottom
売	 士:Top    冗:Bottom
変	 亦:Top    夂:Bottom
夏	 𦣻:Top    夂:Bottom
夕	 𠂊:Outside    丶:Inside
外	 夕:Left    卜:Right
多	 夕:Top    夕:Bottom
夜	 ⿱亠⿰亻⿴夂丶
夢	 𦭝:ParallelTop    冖:ParallelCenter    夕:ParallelBottom
大	 一:Center    人:Center
天	 一:Top    大:Bottom
太	 大:TopOutside    丶:BottomInside
夫	 二:Center    人:Center
央	 央:single
失	 丿:Left    夫:Right
奇	 大:Top    可:Bottom
奈	 大:Top    示:Bottom
奉	 𡗗:Top    二Center:    丨:Center
奏	 𡗗:Top    天:Bottom
契	 𭃌:Top    大:Bottom
奔	 大:Top    卉:Bottom
奥	 ⿱⿵⿱丿冂米大
奨	 将:Top    大:Bottom
奪	 奞:Top    寸:Bottom
奮	 奞:Top    田:Bottom
女	 女:single
奴	 女:Left    又:Right
好	 女:Left    子:Right
如	 女:Left    口:Right
妃	 女:Left    己:Right
妄	 亡:Top    女:Bottom
妊	 女:Left    壬:Right
妖	 女:Left    夭:Right
妙	 女:Left    少:Right
妥	 爫:Top    女:Bottom
妨	 女:Left    方:Right
妬	 女:Left    石:Right
妹	 女:Left    未:Right
妻	 ⿱⿻十⿻コ一女
姉	 女:Left    市:Right
始	 女:Left    台:Right
姓	 女:Left    生:Right
委	 禾:Top    女:Bottom
姫	 女:Left    臣:Right
姻	 女:Left    因:Right
姿	 次:Top    女:Bottom
威	 戌:TopOutside    女:BottomInside
娘	 女:Left    良:Right
娠	 女:Left    辰:Right
娯	 女:Left    呉:Right
婆	 波:Top    女:Bottom
婚	 女:Left    昏:Right
婦	 女:Left    帚:Right
婿	 女:Left    胥:Right
媒	 女:Left    某:Right
媛	 女:Left    爰:Right
嫁	 女:Left    家:Right
嫉	 女:Left    疾:Right
嫌	 女:Left    兼:Right
嫡	 女:Left    啇:Right
嬢	 女:Left    㐮:Right
子	 子:single
孔	 子:Left    乚:Right
字	 宀:Top    子:Bottom
存	 存:single
